Video Name,Transcript,Summary,Source,Category,PublicVideoLink
20 year old Alum Craig B. Shares His Colaberry Boot Camp Experience," All right, my man. Listen y'all. Craig decided when he graduated. When would you graduate high school, Craig? August 2021. August 2021. Graduated high school and decided that, you know, his friends were going to college. He decided to go to Colaberry, right? And so tell us how long you've been in the field now and what do you do? Well, I've been in the field since March. So like what? Five months, four, five months. How many jobs did you have before this? Um, none. I mean, I had like a summer job, like washing cars, but I was about to hit. So first real job. It's sir. All right, so tell us what do you do and how it is it? What was your day to day life? Well, I picked Power BI as my tool. And now I'm a Power BI developer. And my day to day is actually like, it's pretty simple. I mean, I've got lucky enough to be in like a company that's kind of new to, you know, data analytics kind of new to reporting. So as I'm kind of going and learning and building up my experience, they're kind of learning more about their reporting. So a lot of the stuff I do on a day to day is pretty much building it, you know, from scratch. Like the first like all these months I've been there, I kind of had to like build up the stuff. There wasn't a lot of reporting that they had. So, um, I mean, it's just pretty much it's basic. I mean, they asked me for stuff. We use base camp. So, you know, they put a project in there. We look over it. And, um, it is kind of similar to the program, you know, you use base camp. So we were able to comment on that, say what we did for today or what I did. I'm the only data analyst they got. So I'm able to, you know, put my progress down and we have, you know, meetings going over it. So I mean, it's pretty cool. I like it. It's been, it's been good so far. I like that mystery with it too. Have you turned in any assignments yet? Oh, yeah. Oh, yeah. I got, you know, like new ones every week. They always asking for stuff. So I'm always on my feet. And I've learned a lot of stuff. Actually, you know, being there is one thing to be, you know, in the class and stuff. But once you get out in the field, man, you learn like a lot of stuff too. So. All right. So obviously you come coming out of high school. How did you hear about the program? Um, it was actually my dad's friend, his son did it. And so he did the course. He liked it and he got placed and he recommended it to me. And he used to be like a restaurant manager. So he went from being, you know, a restaurant manager. That's some like fancy, not like a long-horned steakhouse or something. And then he's now a power BI developer too. So and he leads his team now. So that's pretty cool. He leads his own team now. Yeah. I just think the other day he was saying he doesn't really have to do much anymore. He kind of tells his little goons to go do it. Not good. He's got a team of like more pop people. So I remember Greg coming to the program. How's your life change, man? I mean, you making you making way more than most, how do you know? I'm 20. I'll be 21 in December. So okay, you making a lot more than most 20 year olds. What's that like? It's pretty good, man. It's pretty good. I mean, I still have my parents. So like all that paycheck money is just kind of going to stuff I want. Yeah. A lot of crazy stuff. I mean, those checks to have those type of checks and not have to pay any type of bills. That's crazy. I bet it's just building up in your account. I need to start telling more though. I really do. Tell us one thing that you've done that you spent a lot of money on. Well, I'm going to go see Drake in September. And those tickets, they were not cheap. And we're not cheap. Let me tell you. Right. I'm from me and my brother too. So okay, I'm going big kicking it. Oh yeah. All right. And so you 20, you did it. What advice would you give people going through the program? I said work with your resources for sure. Don't just, you know, count on the stuff like you to for sure is like, it's going to be your big, big friend. You can pretty much look up anything on YouTube regarding, you know, power BI. I know power BI at least. I don't know about like Tableau or anything, but Tableau is a big tool too. Like anything you have and then you know, power BI like Microsoft, they have their own forum of people who have like problems and stuff. You can call them there too. Reddit is a good place to go look at. So if you have difficulties, you know, reach out to, you know, your teammates and you're in your group, but, you know, also go learn your other stuff too. Go learn those, you know, tips and tricks that might impress the interviewer. You never know. I have one, you know, like an interview that they asked me for a trick that, you know, not a lot of people know. I learned that off YouTube and he was impressed. Awesome. Well, we actually created a case study on Craig's story. So if you want details on his journey through the program, you can see here he is, live on the flesh."," All right, my man. Listen y'all. Craig decided when he graduated",Youtube,Marketing,https://youtu.be/O_aZwOQZda0
a day in the life of a data analyst," Hi everyone, my name is Paul. How are you doing? I've been 4 months in a start. 4 months? Okay, okay. So tell us what you do and tell us what your day to day is like. What is it like for you? I do a click sense and I also work on SSRS reports. I also do a little bit of SQL with my manager. And then currently on working on a SharePoint trying to understand SharePoint and GitHub's because I found these were helpful at work and we are actually using them to do our repositories. All the packages and SSRS help to be stored in GitHub. Just in case something goes wrong, we can back them up and not lose anything. So that's what I do. My day today is just basically attending a team meeting with my manager and the group that we work together. And then I check my emails, works on subscriptions, reports subscriptions. If anything, if the report didn't reach the customer, the customer will send in a service now ticket and I'll check the service now tickets and fix the issue and hopefully the report will be sent to the customer and that's what I do on daily basis."," Hi everyone, my name is Paul. How are you doing? I've been 4 months in a start. 4 months? Okay, okay",Vimeo,Marketing,https://vimeo.com/899840217
Achieving your career and personal goals," How can you achieve your career goals and your personal goals? Well, Colibary has the system for you unlike any other. We focus, we help you with the training. We do a lot of mentoring, okay? We have about 40 mentors that are products of this program and have come back just to help you succeed. We have internships. Everybody goes through an internship when you get to the end of the program, okay? You're going to be working with the business to build a dashboard or build an ETL solution and you're going to build a project and you're going to showcase that project on your resume. And I'm going to give you guys a demo of what a typical resume looks like when you get to the end of the program. And I can promise you, listen, I can promise you, you've never seen a resume like this. You've seen a lot of resumes, okay? Everybody has seen a lot of resumes, but you have never seen a resume like I'm going show you towards the end of my presentation. So stay tuned for that."," How can you achieve your career goals and your personal goals? Well, Colibary has the system for you unlike any other. We focus, we help you with the training. We do a lot of mentoring, okay? We have about 40 mentors that are products of this program and have come back just to help you succeed",Youtube,Marketing,https://youtu.be/Z77iFE05vW8
Advice From Colaberry Alum's To Help You Succeed In Boot Camp," There's going to be some people starting a class next week and knowing what you know from being through the class and Making it out the other side. What would be the biggest piece of advice you would give everyone? Just the process do all your assignment, everything, talk to your mentor along with all your group members so that you could solve all your problems within yourself and keep learning, I would say. That advice I would like to give to all of them. What would be the biggest piece of advice that you would give people that are starting next week? Just power through it, don't give up and you know you can cut all the things you're doing on the site and just focus on the program. You really need to invest time and actually learn you know don't depend on all you know let me go ask for help, let me use chat GPT to do it. You know try to understand what exactly you're doing and because you need a lot of thinking Because sometimes you may start with things and you can't find help but like once you have the knowledge you know if you want to sign a basic you can take you for. So when you start a program do not give up and just walk how does possible and just think about the end goal. You 20 you did it what advice would you give people going to the program? I said work with your resources for sure don't just you know count on the stuff like you too for sure is like it's going to be your big big friend. You can pretty much look up anything on YouTube regarding you know power BI. I know power BI at least I don't know about like Tableau or anything but Tableau is a big tool too. Like anything you have and then you know power BI like Microsoft they have their own forum of people who have like problems and stuff you can go on there too read it's a good place to to go look at. So if you if you have difficulties you know reach out to you know your teammates in your in your group but you know also go learn your other stuff too go learn those you know tips and tricks that might impress the interviewer you never know I had one you know like an interview that they asked me for a trick that you know not a lot of people know I let that off YouTube and he was impressed so."," There's going to be some people starting a class next week and knowing what you know from being through the class and Making it out the other side. What would be the biggest piece of advice you would give everyone? Just the process do all your assignment, everything, talk to your mentor along with all your group members so that you could solve all your problems within yourself and keep learning, I would say. That advice I would like to give to all of them",Youtube,Marketing,https://youtu.be/W8LpHCwyY0o
Alum comes back 6 years later to share his Colaberry experience," All right, next up on the list, we got my man, Frederick, demons in the building. What's up, man? How's it going? Man, it's going good, man. How you doing? I'm good. So tell us how long has it been since you made your way into the field? Been since June of 2019. So you bought four years and some changing? Yeah. So what do you do for your job? Like, what do you do now? So I'm a data engineer for United Health Care. And my job, we write heaters measures. So the doctors receive patients in the clinics, and they have to abide by certain heaters measures criteria to make sure that they're seeing their patients, that they're treating them, and the healthier their patients are. I actually work for subsidiary called Wellman. Well, Wellman pays the doctors more than healthier their patients are. So the majority of their patients are on Medicaid. So keeping them out of the ER and out of the hospital and the doctor actually gives the doctors an additional stipend. So I'm on the BIT, and we write all the measure logic for the various measures that they use. And SsRs right now, they're looking to move it. But right now, all of the reports I've run into SsRs of my team, we create packages to move the data in from several sources claims data, supplemental data, various data. We also write the store procedures for the reporting for the reports, because our environment is so complicated. Like, we couldn't simply just give it away to report it. So we do kind of everything in the house with BIT reports. The reporting just makes the reports look like, look nice. All of the logic is written by us. Is this the same job you got out of colaberry or have people do? So you have such a fan job. Yeah. Yeah. So when I first got out, I was thinking about moving, but I had a little girl. I worked for United Health Care. My insurance is like the best insurance ever. So my team is ideal. Also, we have a ton of flexibility. My managers, cool, my leaves are cool. My team is probably the best group of individuals I've ever worked with at any job. So there's too many things keeping me, but me that just jump on the job, aren't you? Are you work from home or are you hybrid? I thought you were going to the office at first. So I worked from home, but I could go to the office whenever I want. So I was going to go to the office today, but I forgot I had an eight o'clock doctor's appointment. So I just drove there and came here. But I've been working from home since COVID. But every now and again, I'll drive to the office just because I get tired of working from home. As you can see, I didn't create a little gym and sat in my office because I felt like I was getting fat and sitting at this desk all day. So sometimes I just want to get out of this room. So I just drive to the office. Actually, my car drives me to the office of all the Tesla. And I just put it on autopilot and I just sit there until I get to the office. Even the whole thing? Even the whole thing? So the autopilot I have will keep you when you're laying and adjust you with traffic. So I have to get on the interstate. I'm on the next interstate for about, I think it's 19 miles. So I just get in the fast lane and put autopilot on 80s. And I just sit there and unless someone jumps in front of me, I'm going whatever speed limit I set it to is. That's good living right there. That's good driving right there. That's one of the reasons I bought the car. I got tired of paying for gas. And I knew that I would want to drive to the office. So I was like, I didn't just buy a Tesla, because I knew autopilot would drive me most of the way."," All right, next up on the list, we got my man, Frederick, demons in the building. What's up, man? How's it going? Man, it's going good, man. How you doing? I'm good",Youtube,Marketing,https://youtu.be/2hiJgroAJwM
Alumni Aminat explains Phase 1 and 2 of Colaberry's Bootcamp," So the first phase, I lengths how to write SQL queries. You're going to do a ton of SQL. Then you're going to learn about SSIS, which is ETL, extract, transform, and load data. You're going to learn how to clean the data. Then you're going to learn about SSMS, create and report. Then you're going to learn a little bit about SSAS. But once you get into the second phase, you're going to go into real-life projects. You're going to work in different industries. You have mortgage company projects that you have to do. And then you have your own project. But the mortgage company is in several phases, depending on how quickly you want to complete it. You can complete it in a month as I stated, or you can complete it however long you, depending on your dedication. Then you get to choose a special tool. You can choose to continue with SQL. You can choose to be an ETL developer. You can choose SS, I believe SSMS. You can choose Power BI. You can choose Tableau. You can choose to specialize in Clip. What's the phase in that phase? Then you have a whole other project that you have to do in order for you to complete. It's really up to you what tool you want to choose in the second phase. Once you complete all your projects, you're going to get scrutinized. It has to meet requirements. It has to meet the business requirements of the industry. That phase is when you pick your own data set. Your data set has to be approved. Once that's approved, you complete your project. You're going to learn so many things. You're going to learn the messaging process. You're going to learn how to present what you're doing. If it's not up to you, I stated you will be rejected. In that phase, they're going to help you with your resume. They're going to help you try to look for a job. Colibary found me a job. I looked for a job. I looked. I got offers. But the one that was the best was the one that Colibary got me. They will help you all the way through getting your job. You don't even have to pay anything until after you get placed. You tell Colibary when you want to start making the payment. That's pretty much the process in a nutshell."," So the first phase, I lengths how to write SQL queries. You're going to do a ton of SQL. Then you're going to learn about SSIS, which is ETL, extract, transform, and load data",Vimeo,Marketing,https://vimeo.com/681385076
Aminat got placed after doing Colaberry CAP Competition, I had a cap competition and next week I got an interview and I got the job. I just attended one as a judge and I was very impressed with both the students were putting together in the quality of work and also just how good the art presenting themselves. Practice makes confidence guys., I had a cap competition and next week I got an interview and I got the job. I just attended one as a judge and I was very impressed with both the students were putting together in the quality of work and also just how good the art presenting themselves. Practice makes confidence guys.,Youtube,Marketing,https://youtu.be/EwTLetrAh5A
At Colaberry you are not alone!," For this school, we are here to help each other. So, don't feel like you're alone. And don't feel shy to ask any questions. You better ask a question. Somebody will see you like you don't know, you know? But at least you have an idea. A lot of a wasting time. And I really appreciate that I'm very thankful for everything you did to me. All right, that's what we do. My pleasure."," For this school, we are here to help each other. So, don't feel like you're alone. And don't feel shy to ask any questions",Youtube,Marketing,https://youtu.be/zAHBxZMilLA
"At Colaberry your not alone, we all help one another"," For this school, we are here to help each other. So don't feel like you're alone. And don't feel shy to ask any questions. You better ask a question. Somebody will see you like you don't know, you know? But at least you have an idea. Not a bad wasting time. And I really appreciate that I'm very thankful for everything you did to me. All right, that's what we do. My pleasure."," For this school, we are here to help each other. So don't feel like you're alone. And don't feel shy to ask any questions",Youtube,Marketing,https://youtu.be/WUbRR-VPoiM
Auto Submission Process short," Remember, it's in this auto submission section. So what you sign up, and every time you go and log in, it's gonna give you your update. Look at this thing. A hundred emails sent out so far, guys, two applications submitted. And if you go to your all matches section, and you just scroll down here, 30 minutes a day, okay? Go submit you for some positions directly on the site, okay? Go look at the ones that have been submitted for you. Go some, ask you to answer other questions. Just been 30 minutes a day, okay? This thing is working on your behalf. That 30 minutes a day will ensure, okay? You're gonna get interviews. You will get interviews, okay? So it's time to just accept the fact that color barriers got you back. We about to make this happen. You got this whole system. So you look on here, you find your job. One of these is your job, okay? You find your job, you submit, go to, you know, it's gonna send you straight to it. This is the only thing you have to look at. You no longer have to go look at monster or lengthy. Only way you look at them is if you look at your matches and you see them right there, and you go there, I go to simply hire it because I just wanna go and submit for this position right here, okay? But you don't have to go anywhere else. All of the data is there. Everything that's happening is logged. When was it matched, okay? What's the company? What's the location? What's the score compared to your resume? Where is the job posted? Give it a rating. Here's the full history of what happened. Here's the job description. All you have to do is use this system and you will get a job. When you get access to this, all you have to do is use this and the job is yours. Thank you. If you watching this video, I know you smile right now. All right, I'll see you guys on the other side."," Remember, it's in this auto submission section. So what you sign up, and every time you go and log in, it's gonna give you your update. Look at this thing",Youtube,Marketing,https://youtu.be/WMTmfdBT3Gw
